tiers_key,ca,TOTMVTC,TOTMVTD,TOTMVTCnet,TOTMVTDnet,ENG,MontImp,encours,Encours_Moyen_Debiteur,Encours_Moyen_crediteur,NBECHEANCE,Code_Classe,Code_Profession,Profession,Code_Activite_Economique,Activite_Economique,Code_secteur_activite,Secteur_Activite,Ville,ancienneté,pouvoir_credit
-0.014149721653509131,-0.0041054144334716,-0.029963282870753845,0.029883863474987976,-0.021209478865011917,0.030875761453657887,3395,-0.06799574423620744,-0.04683725473940726,-0.017715403327011162,-0.06054701721902931,0.3817133095731155,-0.42478283882434703,104,56,350,157,46,10,80,-0.29693780383966595,risqué
-0.014116089593233199,-0.04136120952656174,-2.6929450462163896e-11,-6.244377962302712e-11,-9.793241656010015e-13,2.0881156872987107e-11,0,-0.06799574423620744,-0.04683725473940726,-0.1035076156526941,-0.06086809737642123,2.3614436307955025e-16,2.906877546138695,65,23,374,142,46,10,519,0.43252101795559766,sain
-0.013928145726985341,-0.04417847305584351,-0.06651748957753532,0.06606824938632264,-0.05969721843237407,0.06700109691139274,0,-0.06799574423620744,-0.04683725473940726,-0.10786183889871952,-0.061141987463895056,-0.49899735097762504,0.9078813151608698,84,21,282,194,46,10,517,-0.47930250928848184,sain
-0.013926167370498522,-0.03384735786062502,-0.05589960112625023,0.05635234237239126,-0.04851769732427274,0.057340214879085305,540,-0.06799574423620744,-0.04683725473940726,0.01825242800748987,-0.05985783779032493,-1.097215912861147,-0.42478283882434703,65,23,258,72,33,14,902,-1.0263966256349295,sain
-0.013922210657524883,-0.03733470280033046,-0.06023935299433209,0.05959227203810582,-0.05308700014147001,0.06054269935007707,0,-0.06799574423620744,-0.04683725473940726,-0.06402442557765281,-0.06115062074914127,-0.7150207205466746,-0.42478283882434703,65,23,356,109,47,10,517,-0.9352142729105216,sain
-0.013823292833183906,-0.04136120952656174,-2.6929450462163896e-11,-6.244377962302712e-11,-9.793241656010015e-13,2.0881156872987107e-11,0,-0.06799574423620744,-0.04683725473940726,-0.10489582757550983,-0.06113111825793122,2.3614436307955025e-16,-0.42478283882434703,92,96,282,194,46,10,517,-1.0263966256349295,sain
-0.013817357763723448,-0.0015454391048684794,-0.026740588210269714,0.025882709282947357,-0.017816319938249288,0.026904154007461333,2987,-0.06799574423620744,-0.04683725473940726,-0.0006004498119817098,-0.06086809737642123,2.3614436307955025e-16,-0.42478283882434703,65,23,266,432,34,14,922,0.3413386652311897,risqué
-0.013706569800461553,-0.0393831341176417,-0.058889891710921904,0.05856255122863697,-0.05506919899061779,0.05965158137348229,3363,-0.06799574423620744,-0.04683725473940726,-0.0842088640777804,-0.06053139691601322,-0.5405403066639808,-0.42478283882434703,65,23,289,191,42,11,517,0.2501563125067818,risqué
-0.013556214707463267,-0.04394479951343855,-0.06624317225853296,0.06579585169100348,-0.05947278926453795,0.06672551975234423,1445,-0.06799574423620744,-0.04683725473940726,-0.10658174489309123,-0.061121814934680524,-0.14172793207496615,-0.42478283882434703,85,65,282,194,46,10,517,0.7972504288532295,risqué
-0.013475102091503667,-0.044272997482463744,-0.06660371365119831,0.06612791611592789,-0.059788003323924255,0.06706558342626374,0,-0.06799574423620744,-0.04683725473940726,-0.0759464995539226,-0.06098504200747431,2.3614436307955025e-16,-0.42478283882434703,65,23,109,283,15,14,858,-0.9352142729105216,sain
