tiers_key,ca,TOTMVTC,TOTMVTD,TOTMVTCnet,TOTMVTDnet,ENG,MontImp,encours,Encours_Moyen_Debiteur,Encours_Moyen_crediteur,NBECHEANCE,Code_Classe,Code_Profession,Profession,Code_Activite_Economique,Activite_Economique,Code_secteur_activite,Secteur_Activite,Ville,ancienneté,Cluster
626014,396.1,396.1,-4796.49,396.1,-0.0,"6809895,555",6809895.555,0.0,744542.889156,1070.388526,579.0,5.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,IAB99,HEBERGEMENT TOURISTIQUE ET AUTRE HEBERGEMENT DE COURTE DUREE,IA,HEBERGEMENT ET RESTAURATION,SOUSSE,4,0
1141432,38421.846,47051.42,-50664.87,47051.42,-50394.81,0,0.0,0.0,13325.768136,4147.607819,127.0,2.0,P0401,DIRIGEANTS / GERANTS D'ENTREPRISES,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,CB,INDUSTRIE MANUFACTURIERE,BORJ LOUZIR,3,1
685666,65957.492,543388.6,-82430.38,543388.6,-80263.28,0,0.0,0.0,454402.522736,16936.485728,5.0,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,IAA99,HOTELS ET HEBERGEMENT SIMILAIRE,IA,HEBERGEMENT ET RESTAURATION,SOUSSE,4,0
1421947,32520.0,32520.0,-35342.8,32520.0,-35342.8,0,0.0,0.0,1832.3621925,5016.601983,134.0579981290926,0.0,P1004,COMMERCANT DANS L'HABILLEMENT ET CHAUSSURES,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,KALAAT SINANE,30,1
103470,139474.073,0.0,-1104.78,0.0,-1020.68,0,0.0,0.0,5848.273282,364.190342,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,CXF99,AUTRES ACTIVITES MANUFACTURIERES N.C.A.,CX,INDUSTRIE MANUFACTURIERE,MENZEL HAYET,28,0
1544772,478397.46,478397.46,-496558.5,478397.46,-496366.74,0,0.0,0.0,846.67172,11111.955816,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,CAG01,BOULANGERIE ET BOULANGERIE-PATISSERIE,CA,INDUSTRIE MANUFACTURIERE,SIDI MANSOUR,23,0
106478,139474.073,1239.79,-0.0,1239.79,-0.0,0,0.0,0.0,1236.397304,0.0,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,CJA04,RELIURE ET ACTIVITES CONNEXES,CJ,INDUSTRIE MANUFACTURIERE,SOUSSE EZZOUHOUR,23,0
609354,139474.073,0.0,-1270.35,0.0,-1076.58,0,0.0,0.0,6797.304958,364.190342,134.0579981290926,0.0,P9904,SANS PROFESSION,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,SOUSSE,1,1
922177,2479503.78,2879503.78,-2842947.65,2479503.78,-2834806.35,"388932,331",0.0,0.0,117924.735336,994.103945,58.0,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,CEE02,"FABRICATION INDUSRIELLE DE LINGE DOMESTIQUE, D'ARTICLES D'AMEUBLEMENT ET DE LITERIE",CE,INDUSTRIE MANUFACTURIERE,CHATT MERIEM,6,0
1141502,60.358,60.36,-72.01,60.36,-72.01,0,0.0,0.0,3.228764,0.351065,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,NEA99,ACTIVITES COMBINEES DE SOUTIEN LIE AUX BATIMENTS,NE,ACTIVITES DE SERVICES ADMINISTRATIFS ET DE SOUTIEN,ROMMANA,14,0
