tiers_key,ca,TOTMVTC,TOTMVTD,TOTMVTCnet,TOTMVTDnet,ENG,MontImp,encours,Encours_Moyen_Debiteur,Encours_Moyen_crediteur,NBECHEANCE,Code_Classe,Code_Profession,Profession,Code_Activite_Economique,Activite_Economique,Code_secteur_activite,Secteur_Activite,Ville,ancienneté,Cluster
1541834,25870.0,32947.0,-27797.5,32947.0,-27706.54,0,0.0,0.0,29.681997,8904.139479,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,CHA01,SCIAGE ET RABOTAGE DU BOIS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,KSIBET EL MEDIOUNI,29,0
1541870,82379.0,87088.42,-87188.3,87088.42,-86410.52,"58961,832",32258.13,0.0,1271.889394,347.798693,165.0,4.0,P1003,"DROGUERIES, QUINCAILLERIES, PIECES DE RECHANGES ET ASSIMILES",FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,KSIBET EL MEDIOUNI,18,1
1542063,245971.252,246034.7,-244817.15,246034.7,-244414.55,"29720,03",0.0,0.0,1111.945265,10433.341887,77.0,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,BEN AROUS,29,1
1542318,139474.073,3485166.04,-3473246.26,2971426.56,-3521324.16,6180,6180.0,0.0,28737.15178,41.020306,48.0,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,GCE02,"COMMERCE DE DETAIL DE QUINCAILLERIE, PEINTURES ET VERRES EN MAGASIN SPECIALISE",GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,SOUSSE,7,0
1542788,3265.655,3289.61,-3894.97,3289.61,-3884.51,0,0.0,0.0,48.339106,1389.839317,199.0,0.0,P0504,PHARMACIENS LIBERAUX,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,BEN AROUS,26,1
1543220,607256.734,632139.52,-613805.93,632139.52,-610335.17,"104571,729",0.0,0.0,21377.352668,4354.347221,141.0,1.0,P0999,AUTRES ENTREPRENEURS INDIVIDUELS ARTISANS,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,MERKEZ CHAABOUNI,5,1
1543469,369597.667,376066.67,-371908.24,376066.67,-371654.66,5000,0.0,5000.0,100.966764,7711.907947,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,BBA01,EXTRACTION DE PETROLE BRUT,BB,INDUSTRIES EXTRACTIVES,SIDI MANSOUR,29,0
1543668,58793.735,236281.12,-236249.08,236281.12,-235993.46,0,0.0,0.0,1683.83281,8928.006334,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,KSIBET EL MEDIOUNI,2,1
1544130,139474.073,3485166.04,-3473246.26,2971426.56,-3521324.16,0,0.0,0.0,1832.3621925,0.0,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,CEB02,TISSAGE TRADITIONNEL,CE,INDUSTRIE MANUFACTURIERE,SAKIET EDDAIER,30,0
1544141,139474.073,3485166.04,-3473246.26,2971426.56,-3521324.16,0,0.0,0.0,1832.3621925,0.0,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,GCA01,COMMERCE D'ALIMENTATION GENERALE,GC,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,MERKEZ GADDOUR,30,0
1544411,139474.073,3485166.04,-3473246.26,2971426.56,-3521324.16,0,0.0,0.0,1832.3621925,0.0,134.0579981290926,0.0,P0899,"AUTRES EXPLOITANTS DE L'AGRICULTURE, PECHE ET ASSIMILES",FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,MERKEZ GADDOUR,30,1
1544466,134859.404,134859.4,-145376.59,134859.4,-143684.82,"32168,618",1326.41,0.0,881.092906,3948.114369,198.0,1.0,P0905,ARTISANS DU BATIMENT ET ASSIMILES,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,SAKIET EDDAIER,6,1
1544580,1403148.842,1783531.07,-1850732.21,1710531.07,-1848743.99,73000,0.0,73000.0,116.378797,513866.788405,2.0,0.0,P1001,COMMERCANT DANS L'ALIMENTATION GENERALE,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,MERKEZ GADDOUR,3,1
1544603,139474.073,3485166.04,-3473246.26,2971426.56,-3521324.16,0,0.0,0.0,382044.224953,0.0,134.0579981290926,5.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,CAG03,"FABRICATION DE BISCUITS, BISCOTTES ET PATISSERIES DE CONSERVATION",CA,INDUSTRIE MANUFACTURIERE,JEBENIANA,1,0
